Source_Object_title,Source_Note_body,Target_Object_title,Target_Note_body
儀錶板,萬物皆可顯示資訊，不分介質(材料),改善未來教室,"無紙化
需要大量的設備，延伸出能源供應和軟硬體支援
面板業會很夯
便於連結，學習不僅限於教室
對於學習狀態和環境更好揣摩（如 3D或更多的動態模擬呈現）
克服時間空間的限制
對於各種不便於呈現的場景可以模擬出現
器材可以使用模擬不需額外購買更多的硬體
Future: Where inspiration can be shared as quickly as created 
Nature is interactive
Everything is no distance and immediately
Spend more time and places you want to be
允許學生自我控制速度和建立學習目標
沒有動力動機就沒有學習，實際上學生必須思考
重建學校和學生的生態系統"
AI,人工智慧取代部分非創造性的技能。,學習內容變化,"電腦可取代人腦，有些技能不再被需要
有些職業消失，有些職業在學校時可能還不存在"
re:如何兼具各方學習,如何全面兼顧各方面學習？避免只學自己想學的，或偏廢某方面技能。,對於未來學習的想法,"優
1.隨時隨地學習
2.依據自我興趣進修
3.有趣方便
缺
1.容易造成偏廢某些方面技能
2.缺乏團體凝聚力
3.接觸材料單一
4.科技預算要很充足"
供電問題,當供電量供不應求 可能會造成跳電問題發生,learning in future,"DashBoard
互動
物聯網 (IoT)
硬體設備越來越吃重(電力、網路)
跨語言、種族"
拔尖扶弱,根據學習軌跡給予適性化學習資源。,軌跡分析,即時分析學習路徑
還是需要老師,但老師的腳色可能會演變成協助學生引導他們的方向。,沒有老師,但或許未來部會有實體的老師了~~
同意考試制度還有進步空間,多元入學⋯,未來的教室,"1.如果未來的學習目標不改變,很難將未來的教室改變成影片中的樣子
2.知識與應用應該兼備,未來不應該是考試至上的社會"
增加資訊設備,透過高端設備讓學生在學習上更加主動,學生的學習歷程,"學生的學習歷程變成學生的腳手架
讓學生自己安排事情的先後順序
讓學生有自主性與自發性
讓學生有自發性的學生而不是強迫式的學習
學生學習是從自己本身自願開始的，從被動轉為主動
注重學習這件事
而不是注重獲得知識這件事
學習問題解決才是王道"
設備限制,若在一些經濟較弱的家庭中，沒有行動載具，該如何實施未來教室?,卓穎瑞,"https://youtu.be/gZAyEvlKGXQ (Link->https://youtu.be/gZAyEvlKGXQ)
適當地運用高科技可讓學生更專注於課堂上的講解，並增進他們學習的效果。
觸控螢幕還搭配無線投影伺服器，教師和學生均可將自備的資訊設備，如手機、筆電的畫面無線傳輸到觸控螢幕上，方便師生進行
互動教學與小組討論。"
合作學習,藉由輔具記錄學習歷程，提供後續學生能夠互相參閱。,資源共享,學生在學習的歷程能夠紀錄並共享。
教材創新,有硬體科技的基礎，但教學仍需要老師創作出有趣的教學內容,未來教室,"未來教室
首要的部分由擴增情境AR與虛擬實境VR與互聯網的結合，
形成一種沉浸式的互動教學，
新鮮感的科技即時互動也能提高學習動力。"
未來報紙會漲價,,改善未來教室,"無紙化
需要大量的設備，延伸出能源供應和軟硬體支援
面板業會很夯
便於連結，學習不僅限於教室
對於學習狀態和環境更好揣摩（如 3D或更多的動態模擬呈現）
克服時間空間的限制
對於各種不便於呈現的場景可以模擬出現
器材可以使用模擬不需額外購買更多的硬體
Future: Where inspiration can be shared as quickly as created 
Nature is interactive
Everything is no distance and immediately
Spend more time and places you want to be
允許學生自我控制速度和建立學習目標
沒有動力動機就沒有學習，實際上學生必須思考
重建學校和學生的生態系統"
👍,,儀錶板,萬物皆可顯示資訊，不分介質(材料)
ＡＩ時代來臨,現在許多人力工作 可能會被人工智慧給取代 G_G,未來教室,"1.連線不受空間受限
2."
軟硬體支持就很重要啦XD,,關於無紙化,"資訊設備取代一般紙張,成為上課必備！"
花太多時間在學習科技,可能本末倒置,沒錢沒辦法學習,感覺會一直生活在網絡之中，沒有網絡沒辦法學習
說不定只要一張紙，每天自動更新～～,,未來報紙會漲價,
加入AR與互聯網技術,加入AR技術與Ai結合互聯網，可以讓教室的每個角落都是你的互動平台。,互動性科技,捨棄紙筆化測驗，加入平板於課堂當中
供電,相信科技會克服能源問題的,learning in future,"DashBoard
互動
物聯網 (IoT)
硬體設備越來越吃重(電力、網路)
跨語言、種族"
玻璃、塑膠會比較貴,應用場景太多,未來報紙會漲價,
傳統老師的定義是否會被打破,老師給予題目讓學生發展想法，或者由一群學生討論後自己定義出題目？,還是需要老師,但老師的腳色可能會演變成協助學生引導他們的方向。
高效學習省時省$,高效學習節省下的學習費用，用來擴充實境,如何精進呢?,設備該怎麼精進呢???
到時候沒有距離就不是遠傳的專利了,,未來教室,"1.連線不受空間受限
2."
程式思維很棒,,萬物聯網,"1.未來的學生 從小開始學習寫程式
2.堆積木 -> 拆解電腦
3.學習克服時間空間限制"
e-paper,可能會有一張電紙.....,說不定只要一張紙，每天自動更新～～,
未來教室裡的角色問題,未來教室多半用科技輔助學習，那教師的角色是什麼呢？,未來教室組成元素,http://enjoyelearning.blogspot.com/2014/07/21.html (Link->http://enjoyelearning.blogspot.com/2014/07/21.html)
科技未來感,高科技讓學生更專注並激發其主動學習,卓穎瑞,"https://youtu.be/gZAyEvlKGXQ (Link->https://youtu.be/gZAyEvlKGXQ)
適當地運用高科技可讓學生更專注於課堂上的講解，並增進他們學習的效果。
觸控螢幕還搭配無線投影伺服器，教師和學生均可將自備的資訊設備，如手機、筆電的畫面無線傳輸到觸控螢幕上，方便師生進行
互動教學與小組討論。"
對唷~不可一直網路無法連線,哈哈~,硬體設備,雖然學生的想法需要刺激而前往發展，不過未來教室的硬體設備以觸控為主，硬體設備觸控上不能有延遲、網路設備要能支援這類快速的網速資源
原物料廠就會很看好,,玻璃、塑膠會比較貴,應用場景太多
面板,現在先買好面板股,改善未來教室,"無紙化
需要大量的設備，延伸出能源供應和軟硬體支援
面板業會很夯
便於連結，學習不僅限於教室
對於學習狀態和環境更好揣摩（如 3D或更多的動態模擬呈現）
克服時間空間的限制
對於各種不便於呈現的場景可以模擬出現
器材可以使用模擬不需額外購買更多的硬體
Future: Where inspiration can be shared as quickly as created 
Nature is interactive
Everything is no distance and immediately
Spend more time and places you want to be
允許學生自我控制速度和建立學習目標
沒有動力動機就沒有學習，實際上學生必須思考
重建學校和學生的生態系統"
靠 ChatGPT 完成程式撰寫功能,給指令AI就會幫忙寫完程式,萬物聯網,"1.未來的學生 從小開始學習寫程式
2.堆積木 -> 拆解電腦
3.學習克服時間空間限制"
年齡也是問題,,未來學習著重的優點,"能輕易取的所需資訊
注重個性化教育
須清楚了解自己在學什麼，如何有效率吸收知識
需有強烈學習動力且付出實際行動
差別化教學"
讚,讓學習從被動轉為主動真的好重要喔!,學生的學習歷程,"學生的學習歷程變成學生的腳手架
讓學生自己安排事情的先後順序
讓學生有自主性與自發性
讓學生有自發性的學生而不是強迫式的學習
學生學習是從自己本身自願開始的，從被動轉為主動
注重學習這件事
而不是注重獲得知識這件事
學習問題解決才是王道"
能源會是一個很重要的議題,,learning in future,"DashBoard
互動
物聯網 (IoT)
硬體設備越來越吃重(電力、網路)
跨語言、種族"
更多的經費,需要更多的經費投入在教育,硬體設備,雖然學生的想法需要刺激而前往發展，不過未來教室的硬體設備以觸控為主，硬體設備觸控上不能有延遲、網路設備要能支援這類快速的網速資源
塑膠股暴漲,,玻璃、塑膠會比較貴,應用場景太多
老師可能需要擔任更重要的角色,吧,傳統老師的定義是否會被打破,老師給予題目讓學生發展想法，或者由一群學生討論後自己定義出題目？
核融合,,能源會是一個很重要的議題,
沈浸式超棒～,,未來教室,"未來教室
首要的部分由擴增情境AR與虛擬實境VR與互聯網的結合，
形成一種沉浸式的互動教學，
新鮮感的科技即時互動也能提高學習動力。"
全部的學習都需要科技嗎？,科技輔助不小心變科技介入,個別化學習,"personalized education
kids don't have to learn in a certain way
科技輔助學生建立個別化學習"
good job,,未來教室的想法,"1.多元的學習管道與環境
2.個別化的學習
3.透過科技的方式進行無界限的學習
4.學生自主學習"
Tset,Tset,卓穎瑞,"https://youtu.be/gZAyEvlKGXQ (Link->https://youtu.be/gZAyEvlKGXQ)
適當地運用高科技可讓學生更專注於課堂上的講解，並增進他們學習的效果。
觸控螢幕還搭配無線投影伺服器，教師和學生均可將自備的資訊設備，如手機、筆電的畫面無線傳輸到觸控螢幕上，方便師生進行
互動教學與小組討論。"
物聯網的技術可以實現跨域、跨空間、時間，但仍缺教材精準度問題,,物聯網、無紙化、教師與學生角色,
無紙化轉成類指數位材料、塑膠、玻璃等載具呈現資訊,,物聯網、無紙化、教師與學生角色,
師生角色的模糊，老師也能夠是學生,,物聯網、無紙化、教師與學生角色,
如何提升學生的興趣,常會發現學生對某些科目沒興趣，該如何引起他們的興趣，找到問題並解決呢？,微軟的未來教室,"未來教室代表可以提升學生的自主性
透過本身發現問題所在，再自行想辦法解決問題"
使用科技的好處,除了更加便利外，在討論的過程哩，害羞的人也可以在網路上暢所欲言，不用擔心面對面的接觸,硬體設備,"讓行動載具可以更加便捷
讓學生獲取學習的方式可以不受限於空間與時間的限制"
自律能力,"不管是否有科技輔助，""""自律""""是所有學習或成功最重要的事情。",未來教室可能面臨的科技問題,未來教室可能使用科技輔助學習，但過多的科技是否會讓學生更加沉迷於網路當中呢？該如何應對？
課製化未來教室,"1. 各國各校""需求不盡相同""。
2. 使用者可分成老師與學生。
3. 有些會從老師的需求點出發；有些則會對於同學能否融入教學非常在乎。
4. 教室的特色功能要單一還是複合？",如何改善未來教室,"可以多加一些人性化的設計
可以多接觸大自然的東西
可以設計一系列的對話設計，使未來教室更加的活潑與生動"
未來教室的概念,"未來教室可以不是一定要有很高端、很昂貴的設備與功能，而是希望老師與同學，對於這間教室是能產生高度認同感及興趣，教室內配置的教具和設備都是能輕易上手的並加以運用，讓教室能成為具有特色的一個教學空間。
For example, 觸控螢幕電子白板(老師)or桌子表面使用白板膜(學生)→使學生們在討論的過程中，可以隨時拿起白板筆來寫~",如何提升學生的興趣,常會發現學生對某些科目沒興趣，該如何引起他們的興趣，找到問題並解決呢？
衍伸問題,長期使用打字，仰賴自動挑選、選字功能，也可能衍伸出學生不會手寫國字的問題。,教學遇到的問題,在國小中年級的學生，打字速度比較沒有那麼快，感覺會影響學習的速度
知識活用的重要性,讓學生習得的知識不只是應用在考卷、學校，而是能在生活中應用，幫助解決生活上的問題。,學生的學習方法,"以往的學生都只是跟著課本學習、考試，但無法將知識真正的內建於自己的想法當中。
未來教室應該以學生有興趣的方面發展，讓他們能夠自行探索"
如何預防3C成癮,且學生容易因頻繁使用3C產品而致成癮難以脫離，因此也須有因應3C成癮的措施。,設備限制,若在一些經濟較弱的家庭中，沒有行動載具，該如何實施未來教室?
全球化的世界觀,"讓學生拓展他的眼界與視野
也讓學生能與多方文化有所交流，也可以有更多不一樣的想法。",教學變革-未來教室,"1. 遠距教學：進行跨國交流及學習，打破教室疆界
2. 多元數位學習：互動式觸控螢幕+實物投影機，教材活靈活現"
自主性,自動自發是對學生很重要的關鍵。,自律能力,"不管是否有科技輔助，""""自律""""是所有學習或成功最重要的事情。"
安全性疑慮,安全性相當重要，也要保護學生對於網路上的資訊，以及明辨是非的能力,軟硬體支持的重要性,"不論在何處工作，用什麼軟硬體學習，安全性都非常重要。
在操作遠距應用軟硬體時，都要採取最佳作法來保護重要的資訊與使用者的隱私。"
依賴網路,如果網路不穩或是遇到技術問題，課程該如何進行?,未來教室的想法,"1.多元的學習管道與環境
2.個別化的學習
3.透過科技的方式進行無界限的學習
4.學生自主學習"
老師的重要,網路上的資訊爆炸，不是每個內容都是正確的知識來源，老師要幫忙學生分辨正確的內容，以免學生一路走歪,依賴網路,如果網路不穩或是遇到技術問題，課程該如何進行?
網路不穩,依目前方式就是回歸實體課程,依賴網路,如果網路不穩或是遇到技術問題，課程該如何進行?
媒體識讀的重要性,學生須有質疑及驗證知識的能力。,老師的重要,網路上的資訊爆炸，不是每個內容都是正確的知識來源，老師要幫忙學生分辨正確的內容，以免學生一路走歪
回饋,"1.感覺未來教室仍需要老師在旁協助學習
2.學習態度從消極轉為積極
3.學生可自行操作儀器且可行性高",統整摘要,"未來教室
自主學習
適性化、多元化學習
學生的學習態度：被動轉主動
學生對學習產生興趣
學生自主規劃學習歷程
科技輔助未來學習
學生學習如何解決問題"
引導者,"科技始終來自於人性，是為了滿足人們的需求，但人與人之間的相處卻並非依靠科技就能靠近，因為真實的情緒會被人們藏住，情緒的交流容易退溫，會全數化為文字。
所以老師依舊是教育學科知識與道德的本體(主角)，科技只不過是作為輔助的工具。",未來教室裡的角色問題,未來教室多半用科技輔助學習，那教師的角色是什麼呢？
資安,是否容易有資安漏洞？如何保障隱私及安全？,依賴網路,如果網路不穩或是遇到技術問題，課程該如何進行?
變換學習方式,未來教室的重點非著重於背而是在於資料收集、分析及整合,未來教室的想法,"1.多元的學習管道與環境
2.個別化的學習
3.透過科技的方式進行無界限的學習
4.學生自主學習"
角色變換,"老師由知識的「傳遞者」，轉化為「引導者」
學生也由以往的知識「接收者」，轉化為「探索者」。",未來教室的想法,"1.多元的學習管道與環境
2.個別化的學習
3.透過科技的方式進行無界限的學習
4.學生自主學習"
以學習者為中心的教學,,角色變換,"老師由知識的「傳遞者」，轉化為「引導者」
學生也由以往的知識「接收者」，轉化為「探索者」。"
變換教學方式,由指導者的角色，變成設計者；從教導的方式，變成引導、協作。,未來教室的想法,"1.多元的學習管道與環境
2.個別化的學習
3.透過科技的方式進行無界限的學習
4.學生自主學習"
處處皆教室,只要有學習產生的地方，就是教室！,師生角色的模糊，老師也能夠是學生,
供電問題,當未來教室大量使用電子設備產品時，可能會使電力供應供不應求，造成電力相關問題產生。,無紙化轉成類指數位材料、塑膠、玻璃等載具呈現資訊,
藍芽技術可能有機會突破網路限制,,網路不穩,依目前方式就是回歸實體課程
教材的更新與創新是關鍵,隨著科技時代轉變，許多學校已經把程式設計作為必修課程，我認為是非常大的教材課程創新。,物聯網的技術可以實現跨域、跨空間、時間，但仍缺教材精準度問題,
star trek holodeck,"1.我喜歡star trek.裡面的 holodeck(全息成像平臺)能在一個空間內模擬出想要的虛擬場景。
2.利用虛擬場景，讓學習者身歷其境。",AR擴增實境,能夠減少資源的浪費，利用擴增實境來進行虛擬練習。
不會打字的問題,"之前有看過一個說法,未來需要寫字的機會變少了,學生不會寫字的問題可能會越來越嚴重",衍伸問題,長期使用打字，仰賴自動挑選、選字功能，也可能衍伸出學生不會手寫國字的問題。
正確的網路搜索,"應該要教導學生如何搜尋正確的網路知識, 以及基本的網路倫理",安全性疑慮,安全性相當重要，也要保護學生對於網路上的資訊，以及明辨是非的能力
對於未來教室的疑問,"通常學生都會因為使用的高科技設備而產生興趣, 但卻不是因為學習內容本身而產生興趣, 所以在教學的過程中常會遇到不知道該如何引導學生發現問題，對內容產生興趣的問題",未來教室的概念,"未來教室可以不是一定要有很高端、很昂貴的設備與功能，而是希望老師與同學，對於這間教室是能產生高度認同感及興趣，教室內配置的教具和設備都是能輕易上手的並加以運用，讓教室能成為具有特色的一個教學空間。
For example, 觸控螢幕電子白板(老師)or桌子表面使用白板膜(學生)→使學生們在討論的過程中，可以隨時拿起白板筆來寫~"
未來教室設計,"1. 未來教室應給予年級較小的學習者學習的配套措施
2. 思考若網路出現問題該如何解決？
3. 思考評量方式有什麼更有效的方法",如何改善未來教室,"可以多加一些人性化的設計
可以多接觸大自然的東西
可以設計一系列的對話設計，使未來教室更加的活潑與生動"
自律的重要性,,自律能力,"不管是否有科技輔助，""""自律""""是所有學習或成功最重要的事情。"
使用科技的設備問題,"未來教室所會面臨的設備問題
1. 網路承載能力
2. 學生的設備供給量",使用科技的好處,除了更加便利外，在討論的過程哩，害羞的人也可以在網路上暢所欲言，不用擔心面對面的接觸
參與網路講座,多方參與網路講座，充實本身的倫理道德與正確的網路知識,正確的網路搜索,"應該要教導學生如何搜尋正確的網路知識, 以及基本的網路倫理"
電腦與網路便利後的潛在風險,其實去了解網路運作的情形及駭客入侵的手法應該是一件有趣且複雜的事，越了解就越知道那並不容易，也越知道該如何保護自己，網路發展的同時，我們也應該更注意它所可能帶來的問題。,安全性疑慮,安全性相當重要，也要保護學生對於網路上的資訊，以及明辨是非的能力
介面的改變，學習方式升級,"YT的錄像學習
可以從2D變成3D",物聯網、無紙化、教師與學生角色,
學習成本增加,,無紙化轉成類指數位材料、塑膠、玻璃等載具呈現資訊,
知識的正確性,"在人人可以當老師的情況
很難定義之式的正確性",師生角色的模糊，老師也能夠是學生,
如何引發學生興趣之建議,"高科技設備僅為輔助工具，引發學生興趣還需從根本上解決問題
1. 利用真實世界的案例：如果教學內容與生活中世界連結起來，會一定程度上提高學生興趣，可通果引用真實例子來說明教學內容之實際應用價值。
2. 利用多媒體技術：例如圖片、影片、音訊等介紹教學內容，製作互動性更強的教材，可以幫助學生更好地理解和記憶教學內容。
3. 引導學生自主學習：若能在教學中讓學生自由選擇不同學習方式，用學生對自己選擇的學習方式來投入，使其提升自主學習，也激發他們的興趣和創造力。
4. 建立學習小組：增加學生的互動和交流，促進學生之間的合作和分享，使其更深入瞭解教學內容並從中獲得成就感和滿足感。
5. 利用遊戲化學習：增加趣味性和挑戰性，讓學生在其中體驗到樂趣。
總而言之，引發學生興趣還須多方面入手，非單一科技設備或教材就能完成。",對於未來教室的疑問,"通常學生都會因為使用的高科技設備而產生興趣, 但卻不是因為學習內容本身而產生興趣, 所以在教學的過程中常會遇到不知道該如何引導學生發現問題，對內容產生興趣的問題"
媒體識讀,擁有正確的媒體識讀，方能減少不必要的負面仿效。,正確的網路搜索,"應該要教導學生如何搜尋正確的網路知識, 以及基本的網路倫理"
科技V.S人性,科技發達後，許多人跟人之間的距離也會有了變化，是否教室的科技化、設備的革新，也會影響同儕間的互動、關係呢?,電腦與網路便利後的潛在風險,其實去了解網路運作的情形及駭客入侵的手法應該是一件有趣且複雜的事，越了解就越知道那並不容易，也越知道該如何保護自己，網路發展的同時，我們也應該更注意它所可能帶來的問題。
學習焦點轉移,的確，學習就好像用科技包裝，吸引學生學習，但學生是否是對學習內容感興趣?還是只是對於科技的有趣有興趣?如何讓課堂不模糊焦點，課程的設計固然成為重點。,對於未來教室的疑問,"通常學生都會因為使用的高科技設備而產生興趣, 但卻不是因為學習內容本身而產生興趣, 所以在教學的過程中常會遇到不知道該如何引導學生發現問題，對內容產生興趣的問題"
師資的培育,是否該改進對於師資培育的方式? 目前仍有教育學院教授抱持傳承「優良傳統」的想法，這樣的教授教出來的老師適合未來社會嗎?,老師的重要,網路上的資訊爆炸，不是每個內容都是正確的知識來源，老師要幫忙學生分辨正確的內容，以免學生一路走歪
如何教導,"如何教導學生具備媒體識讀能力?
教師本身是否具有這樣的能力?
誰可以界定哪個訊息是對的，哪個知識是錯誤的?",媒體識讀的重要性,學生須有質疑及驗證知識的能力。
學生專心度,"統計得知專心度大約只有18分鐘左右
如何讓學生繼續保持專心是我們需要探討的",學習焦點轉移,的確，學習就好像用科技包裝，吸引學生學習，但學生是否是對學習內容感興趣?還是只是對於科技的有趣有興趣?如何讓課堂不模糊焦點，課程的設計固然成為重點。
科技成為輔助工具後，是否會操作不當,"操作不當變成學生的中心
是否曲解或重新定義學習的模樣呢?",引導者,"科技始終來自於人性，是為了滿足人們的需求，但人與人之間的相處卻並非依靠科技就能靠近，因為真實的情緒會被人們藏住，情緒的交流容易退溫，會全數化為文字。
所以老師依舊是教育學科知識與道德的本體(主角)，科技只不過是作為輔助的工具。"
學生本身,"若回到學生本身，學生具有無限的想像力嗎?
當回到學生自己時，是否也須倚靠一些生長背景或成長中的文化資本、社會資本進行輔助吧?",未來教育新樣貌,過去的教育是把人教成機器，未來的教育則要回歸到人的本質，幫助孩子探索人生、找到自己與世界的連結。
傳統方式將被取代,1.識字年齡可能降低，但寫字能力也可能降低,物聯網、無紙化、教師與學生角色,
個性教學,大班授課會是一個影響這方面成長的關鍵,物聯網的技術可以實現跨域、跨空間、時間，但仍缺教材精準度問題,
新能源,"可能之後不會是用""電""
新能量能源會是一種可能",供電問題,當未來教室大量使用電子設備產品時，可能會使電力供應供不應求，造成電力相關問題產生。
BYOD 趨勢,"各種設備的相容性更加完善
手機直接投頻",物聯網、無紙化、教師與學生角色,
師資培訓,現在的教育環境一直有師資培訓的研習，但是現職的教師卻有很多不願意改變，我覺得除了未來的師資培訓，對於現在師資的審核也是一件很重要的ㄕㄑ,師資的培育,是否該改進對於師資培育的方式? 目前仍有教育學院教授抱持傳承「優良傳統」的想法，這樣的教授教出來的老師適合未來社會嗎?
個別化,個別化的教育很重要，但是在大班教學的環境卻很難做到，不過以現在的環境要保持小班的教學確實不是很容易，環境的改變跟老師的想法都要相輔相成才有辦法。透過自主學習的網站也許可以做到部分的個別化，但背後的配套措施，目前確實不夠ㄨㄢㄕㄢ,以學習者為中心的教學,
媒體識讀課程,"媒體識讀課程於國中公民課程當中才能學到
且太過於理論化
是否能有一些開放性的資源供學生進行選擇呢?",媒體識讀,擁有正確的媒體識讀，方能減少不必要的負面仿效。
社交關係,"對於面對害怕人群的人可以減輕其壓力
可以變成網路上的網軍
亦是水能載舟亦能覆舟",使用科技的好處,除了更加便利外，在討論的過程哩，害羞的人也可以在網路上暢所欲言，不用擔心面對面的接觸
行動裝置的使用與限制,學習者在使用數位載具時是否有足夠的自制力？城鄉差距的資源落差能否避免？,利用各種行動裝置來協助學習,教室會使用各種載具來進行數位化的學習，並且也可以即時的進行知識共享。
留言方式,"覺得還要教導學生如何留言,以及如何表達有意義,有發展性的想法",社交關係,"對於面對害怕人群的人可以減輕其壓力
可以變成網路上的網軍
亦是水能載舟亦能覆舟"
從生活中著手,"在未來教室理,學生應從生活中尋找問題,這就和自身經驗有關了，自己做過什麼事,遇到什麼事情,想到什麼問題,並從中想出解決方法",學生本身,"若回到學生本身，學生具有無限的想像力嗎?
當回到學生自己時，是否也須倚靠一些生長背景或成長中的文化資本、社會資本進行輔助吧?"
科技的輔助,"科技可以增加學生的學習動力,並用不同的方式學習,或許會因此改變學生的討論模式,但若換個角度思考,如果是將科技作為輔助的工具,就像影片當中所呈現的,學生運用科技設備探索大自然,但還是會有人與人接觸討論的時候，若在學習過後,增加學生互相分享的活動,或許就不會減少人與人互動的機會了",科技V.S人性,科技發達後，許多人跟人之間的距離也會有了變化，是否教室的科技化、設備的革新，也會影響同儕間的互動、關係呢?
平時搜索資料時教學,,媒體識讀課程,"媒體識讀課程於國中公民課程當中才能學到
且太過於理論化
是否能有一些開放性的資源供學生進行選擇呢?"
寫字能力的狀況,我覺得偉倫的想法很棒，但針對我們的中文可能這個問題比較嚴重。畢竟繁中的筆畫是複雜的。,傳統方式將被取代,1.識字年齡可能降低，但寫字能力也可能降低
學習會變成高度的互動，真正實踐教學相長,教師會變成很關鍵的引導者，引導學生獲得學習成果。,師生角色的模糊，老師也能夠是學生,
教材的多元化,"教材內容可以更加的多元化，不只限於單一的元素，如：課本等。
數位化的內容，可以增加更多的彈性和選擇。",教材的更新與創新是關鍵,隨著科技時代轉變，許多學校已經把程式設計作為必修課程，我認為是非常大的教材課程創新。
教師的教學手法改變,"教師不是只有講授，需要更多元的教學手法。
並且熟知多元教學手法與科技的結合，適時的引導學員達到一定的學習成果。",物聯網、無紙化、教師與學生角色,
各種新創的能源是必須,"既有的消耗性能源，已經無法滿足現在的需求。
新能源產生的必要性提高。如：德國已經發展的氫氣能源。",新能源,"可能之後不會是用""電""
新能量能源會是一種可能"
個別化教學,個別化教學需付出更多教學成本，需要思考該如何取得平衡,個別化,個別化的教育很重要，但是在大班教學的環境卻很難做到，不過以現在的環境要保持小班的教學確實不是很容易，環境的改變跟老師的想法都要相輔相成才有辦法。透過自主學習的網站也許可以做到部分的個別化，但背後的配套措施，目前確實不夠ㄨㄢㄕㄢ
